id,name,slug,city,state,category,subcategory,address,phone,website,email,description,whatsapp_number,latitude,longitude,claimed,verified,created_at,google_maps_url,instagram_url,facebook_url,rating,review_count,featured
10010,ITC Rasoi,ahmedabad-itc-rasoi,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 11, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380150",+919800000010,https://itcrasoi.in,info@itcrasoi.in,"About ITC Rasoi: A premier choice for restaurant needs located in Ahmedabad. ITC is one of India's foremost private sector companies with a market capitalisation of US $ 52 billion and Gross Sales Value of US $ 10 billion. ITC has a diversified presence in FMCG, Hotels, Packaging, Paperboards & Specialty Papers and Agri-Business. ITC's aspiration to be an exemplar in sustainability practices is manifest in its status as the only company in the world, of its size and diversity, to be carbon, water and solid waste recycling positive. In addition, ITC's businesses and value chains create sustainable livelihoods for more than 6 million people, a majority of whom represent the poorest in rural India.",+919800000010,23.0195,72.5684,false,false,2026-06-15T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0195,72.5684",https://instagram.com/itcrasoi,https://facebook.com/itcrasoi,4.1,1900,false
10011,Muthoot Fincorp,ahmedabad-muthoot-fincorp,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 12, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380165",+919800000011,https://muthootfincorp.in,info@muthootfincorp.in,"About Muthoot Fincorp: A premier choice for restaurant needs located in Ahmedabad. Muthoot Fincorp Ltd., the flagship company of Muthoot Pappachan Group, is one of the largest NBFCs in India, registered with the Reserve Bank of India. Muthoot Fincorp has over 3500 branches across India with an average walk in of over 75,000 customers per day. The company has a diverse mix of retail offerings catering to the various needs of its customers including Gold Loans, Business Loans, Housing Loan, Auto Loans, Money Transfer, Foreign Exchange, Insurance Services and Wealth Management Services. Muthoot Fincorp is a provider of mass finance in the form of gold loans. Decades of dedicated research and more.",+919800000011,23.0207,72.5696,false,false,2026-06-14T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0207,72.5696",https://instagram.com/muthootfincorp,https://facebook.com/muthootfincorp,3.9,1800,false
10012,Dominos Pizza,ahmedabad-dominos-pizza,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 13, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380180",+919800000012,https://dominospizza.in,info@dominospizza.in,"About Dominos Pizza: A premier choice for restaurant needs located in Ahmedabad. Founded in 1960, Domino's is the recognized world leader in pizza delivery, with a significant business in carryout pizza. It ranks among the world's top public restaurant brands with its global enterprise of more than 15,000 stores in over 85 international markets. Its system is made up of franchise owner-operators who accounted for over 97% of the Domino's stores.",+919800000012,23.0219,72.57079999999999,true,true,2026-06-13T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0219,72.57079999999999",https://instagram.com/dominospizza,https://facebook.com/dominospizza,4.2,1800,true
10013,Ujjivan Small Finance Ba...,ahmedabad-ujjivan-small-finance-ba,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 14, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380195",+919800000013,https://ujjivansmallfinanceba.in,info@ujjivansmallfinanceba.in,"About Ujjivan Small Finance Ba...: A premier choice for restaurant needs located in Ahmedabad. Ujjivan Small Finance Bank Limited is a mass market focused bank in India, catering to financially unserved and underserved segments and committed to building financial inclusion in the country. Our Promoter, Ujjivan Financial Services Limited (UFSL) commenced operations as an NBFC in 2005 with the mission to provide a full range of financial services to the ‘economically active poor’ who were not adequately served by financial institutions. On 7, October, 2015, UFSL received RBI In-Principle Approval to set up a Small Finance Bank(SFB), following which it incorporated Ujjivan Small Finance Bank Limited as a wholly-owned subsidiary. and more.",+919800000013,23.0231,72.572,false,false,2026-06-12T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0231,72.572",https://instagram.com/ujjivansmallfinanceba,https://facebook.com/ujjivansmallfinanceba,4.1,1700,false
10014,Muthoot Treats,ahmedabad-muthoot-treats,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 15, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380210",+919800000014,https://muthoottreats.in,info@muthoottreats.in,"About Muthoot Treats: A premier choice for restaurant needs located in Ahmedabad. The Muthoot Group is a flourishing business empire that has pervaded into each and every big & small town of the country, is home to 20 diversified divisions and 4500 plus branches with a global presence. Over 2 Lakh customers visit The Muthoot Group branches every day. The Group has served over 60 crore customers (including repeat customers) till date. The story of The Muthoot Group is built on the foundations of passion, commitment, honesty, traditions and values. Our principle of continuous growth and expansion forms the essence of all our activities.",+919800000014,23.0243,72.5732,false,false,2026-06-11T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0243,72.5732",https://instagram.com/muthoottreats,https://facebook.com/muthoottreats,3.8,1600,false
10015,Oracle Flavours,ahmedabad-oracle-flavours,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 16, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380225",+919800000015,https://oracleflavours.in,info@oracleflavours.in,"About Oracle Flavours: A premier choice for restaurant needs located in Ahmedabad. Oracle is the world’s leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies in the world. What you might not know about us, is that we are leading a cloud revolution. By delivering tomorrow’s emerging technologies, today, we are transforming the world of business, empowering governments, and helping society evolve with the pace of change. We are disrupting old standards. Revolutionizing industries. What we are doing, above all—is changing lives.",+919800000015,23.0255,72.5744,false,true,2026-06-10T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0255,72.5744",https://instagram.com/oracleflavours,https://facebook.com/oracleflavours,3.7,1500,false
10016,Fidelity National Inform...,ahmedabad-fidelity-national-inform,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 17, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380240",+919800000016,https://fidelitynationalinform.in,info@fidelitynationalinform.in,"About Fidelity National Inform...: A premier choice for restaurant needs located in Ahmedabad. FIS is a leader in technology and services that helps businesses and communities thrive by advancing commerce and the financial world. For over 50 years, FIS has continued to drive growth for clients around the world by creating tomorrow’s technology, solutions and services to modernize today’s businesses and customer experiences. By connecting merchants, banks and capital markets, we use our scale, apply our deep expertise and data-driven insights, innovate with purpose to solve for our clients’ future, and deliver experiences that are more simple, seamless and secure to advance the way the world pays, banks and invests. and more.",+919800000016,23.0267,72.5756,true,false,2026-06-09T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0267,72.5756",https://instagram.com/fidelitynationalinform,https://facebook.com/fidelitynationalinform,3.9,1500,false
10017,First Source,ahmedabad-first-source,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 18, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380255",+919800000017,https://firstsource.in,info@firstsource.in,"About First Source: A premier choice for restaurant needs located in Ahmedabad. FirstSource is an e-distributor of scientific equipment & supplies. Offerings include analytical instruments, cooling & heating equipment, fluid handling equipment, sterilizing accessories, lab necessities, and more. Brands associated with the company are LabNet, BrightMax, Contech, Finar, Optika, and more. As a leading presence in Ahmedabad, they focus on delivering customized solutions, ensuring every client receives the best care, product, or service possible. Check out their services or reach out directly for bookings, inquiries, and custom operational schedules.",+919800000017,23.0279,72.57679999999999,false,false,2026-06-08T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0279,72.57679999999999",https://instagram.com/firstsource,https://facebook.com/firstsource,4.0,1400,false
10018,Oyo Rooms,ahmedabad-oyo-rooms,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 19, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380270",+919800000018,https://oyorooms.in,info@oyorooms.in,"About Oyo Rooms: A premier choice for restaurant needs located in Ahmedabad. Founded in India in 2013 by 18-year-old Ritesh Agarwal, OYO grew from 1 hotel to 23,000+ hotels, 1,000,000+ rooms and 125,000+ holiday homes. OYO is spread across 800 cities in 80 countries. Headquartered in Gurgaon, OYO is the fastest-growing and second-largest hotel chain in the world. Globally, we are known for transforming spaces into comfortable and stylish spaces with 70% - 85% occupancy rates. With cutting-edge technology and top industry leaders who love taking risks, we are investing in cloud kitchens, co-living, co-workspaces, student housing, extended stay residences, and grand hotel projects. If we are ambitious about disrupting and more.",+919800000018,23.0291,72.578,false,true,2026-06-07T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0291,72.578",https://instagram.com/oyorooms,https://facebook.com/oyorooms,3.5,1400,true
10019,JSW Steel,ahmedabad-jsw-steel,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 20, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380285",+919800000019,https://jswsteel.in,info@jswsteel.in,"About JSW Steel: A premier choice for restaurant needs located in Ahmedabad. Amongst the leading conglomerates in India, JSW Group is a $14 billion company. It is an integral part of the O. P. Jindal Group, and has been a part of major projects that have played a key role in India’s growth. Ranked among India's top business houses, JSW's innovative and sustainable ideas cater to the core sectors of Steel, Energy, Cement and Infrastructure. The Group continues to strive for excellence with its strength, differentiated product mix, state-of-the-art technology, excellence in execution and focus on sustainability. From its humble beginnings in steel, the JSW Group has expanded its presence and more.",+919800000019,23.0303,72.5792,false,false,2026-06-06T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0303,72.5792",https://instagram.com/jswsteel,https://facebook.com/jswsteel,4.0,1300,false
10020,TATA Steel,ahmedabad-tata-steel,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 21, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380300",+919800000020,https://tatasteel.in,info@tatasteel.in,"About TATA Steel: A premier choice for restaurant needs located in Ahmedabad. We touch the lives of millions of people across the world every day with the steel that we produce. And it is highly likely that Tata Steel has affected your life today, though you may not know it. From the vehicle you drive, to the house you live in; from the bridges you cross, to the hand tools that you use; we strive to deliver unparalleled quality through our customised value-added solutions to make your life easier. This is made possible by our commitment to a culture of continuous improvement, through which we drive operational excellence in processes, and more.",+919800000020,23.0315,72.5804,true,false,2026-06-15T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0315,72.5804",https://instagram.com/tatasteel,https://facebook.com/tatasteel,4.2,1300,false
10021,McDonald's Kitchen,ahmedabad-mcdonalds-kitchen,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 22, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380315",+919800000021,https://mcdonaldskitchen.in,info@mcdonaldskitchen.in,"About McDonald's Kitchen: A premier choice for restaurant needs located in Ahmedabad. McDonald’s is the world’s leading global foodservice retailer with over 37,000 locations in over 100 countries. More than 90% of McDonald’s restaurants worldwide are owned and operated by independent local business men and women. McDonald's & our franchisees employ 1.9 million people worldwide. We serve the world some of its favorite foods - World Famous Fries, Big Mac, Quarter Pounder, Chicken McNuggets and Egg McMuffin",+919800000021,23.032700000000002,72.5816,false,true,2026-06-14T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.032700000000002,72.5816",https://instagram.com/mcdonaldskitchen,https://facebook.com/mcdonaldskitchen,4.3,1300,false
10022,Shoppers Stop,ahmedabad-shoppers-stop,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 23, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380330",+919800000022,https://shoppersstop.in,info@shoppersstop.in,"About Shoppers Stop: A premier choice for restaurant needs located in Ahmedabad. Shoppers Stop is home to a multitude of leading international and national brands for apparels, fragrances, accessories, cosmetics, footwear, home décor and furnishings catering to the needs of the entire family. We aspire to provide our customers a memorable international shopping experience. We are one of the largest chain of department stores across India",+919800000022,23.0339,72.58279999999999,false,false,2026-06-13T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0339,72.58279999999999",https://instagram.com/shoppersstop,https://facebook.com/shoppersstop,4.3,1300,false
10023,Sodexo Treats,ahmedabad-sodexo-treats,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 24, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380345",+919800000023,https://sodexotreats.in,info@sodexotreats.in,"About Sodexo Treats: A premier choice for restaurant needs located in Ahmedabad. Improving quality of life Everything we do is about improving people’s daily lives. We believe healthy school meals make kids do better. That relaxed patients recover faster. And organizations with engaged employees perform better. With our unique wide range of integrated services, this is what our On-site, Benefits and Rewards and Personal Home services do every day. Our conviction is that doing good business in a good way has a powerful positive impact on the 100 million consumers we serve everyday. We create quality of life when we integrate our unique wide range of On-site, Benefits and Rewards and more.",+919800000023,23.0351,72.584,false,false,2026-06-12T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0351,72.584",https://instagram.com/sodexotreats,https://facebook.com/sodexotreats,4.2,1300,false
10024,Hindustan Coca Cola Beve...,ahmedabad-hindustan-coca-cola-beve,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 25, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380360",+919800000024,https://hindustancocacolabeve.in,info@hindustancocacolabeve.in,"About Hindustan Coca Cola Beve...: A premier choice for restaurant needs located in Ahmedabad. HCCB – a company started in 1997 with the simple aim of making beverages for the India of the 21st century. Two decades later, we are one of India’s top FMCG companies. Only because fellow Indians, who have faith in the quality and purity of our products, pick our beverages, 477 times per second. What we do? Manufacturing Our 18 factories, spread across India, manufacture the beverages that India wants. And if it is about India, we better make the best. With stringent processes, world-class machines, state-of-the-art equipment, and the best packaging materials, we make 55 and more.",+919800000024,23.0363,72.5852,true,true,2026-06-11T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0363,72.5852",https://instagram.com/hindustancocacolabeve,https://facebook.com/hindustancocacolabeve,4.4,1300,true
10025,Capgemini Brew,ahmedabad-capgemini-brew,Ahmedabad,Gujarat,Cafe,Premium Cafe,"Shop No. 1, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380000",+919800000025,https://capgeminibrew.in,info@capgeminibrew.in,"About Capgemini Brew: A premier choice for cafe needs located in Ahmedabad. A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of over 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.",+919800000025,23.0075,72.5564,true,true,2026-06-15T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0075,72.5564",https://instagram.com/capgeminibrew,https://facebook.com/capgeminibrew,3.3,9600,true
10026,Ernst & Young,ahmedabad-ernst-and-young,Ahmedabad,Gujarat,Cafe,Premium Cafe,"Shop No. 2, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380015",+919800000026,https://ernstyoung.in,info@ernstyoung.in,"About Ernst & Young: A premier choice for cafe needs located in Ahmedabad. At EY, our purpose is Building a better working world. The insights and quality services we provide help build trust and confidence in the capital markets and in economies the world over. We develop outstanding leaders who team to deliver on our promises to all of our stakeholders. In so doing, we play a critical role in building a better working world for our people, for our clients and for our communities. In a world that’s changing faster than ever, our purpose acts as our ‘North Star’ guiding our more than 280,000 people — providing the context and more.",+919800000026,23.0087,72.5576,false,false,2026-06-14T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0087,72.5576",https://instagram.com/ernstyoung,https://facebook.com/ernstyoung,3.8,2100,false
10027,PayTM Tea House,ahmedabad-paytm-tea-house,Ahmedabad,Gujarat,Cafe,Premium Cafe,"Shop No. 3, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380030",+919800000027,https://paytmteahouse.in,info@paytmteahouse.in,"About PayTM Tea House: A premier choice for cafe needs located in Ahmedabad. Paytm is India's largest leading payment gateway that offers comprehensive payment services for customer and merchants. We offer mobile payment solutions to over 7 million merchants and allow consumers to make seamless mobile payments from Cards, Bank Accounts and Digital Credit among others. We pioneered and are the leader of QR based mobile payments in India. With the launch of Paytm Payments Bank, we aim to bring banking and financial services to half-a-billion un-served and under-served Indians. Our investors include Softbank, SAIF Partners, Alibaba Group and Ant Financial. We strive to maintain an open culture where everyone and more.",+919800000027,23.009900000000002,72.55879999999999,false,false,2026-06-13T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.009900000000002,72.55879999999999",https://instagram.com/paytmteahouse,https://facebook.com/paytmteahouse,4.0,2100,false
10028,Nokia Coffee Day,ahmedabad-nokia-coffee-day,Ahmedabad,Gujarat,Cafe,Premium Cafe,"Shop No. 4, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380045",+919800000028,https://nokiacoffeeday.in,info@nokiacoffeeday.in,"About Nokia Coffee Day: A premier choice for cafe needs located in Ahmedabad. We develop and deliver the industry's only end-to-end portfolio of network equipment, software, services and licensing that is available globally. Our customers include service providers whose combined networks support 6.1 billion subscriptions, as well as enterprises in the private and public sector that use our network portfolio to increase productivity and enrich lives. We also serve consumers with technology and devices. Through our research teams, including the world-renowned Nokia Bell Labs, we are leading the world to adopt end-to-end 5G networks that are faster, more secure and capable of revolutionizing lives, economies and societies. Nokia adheres to and more.",+919800000028,23.0111,72.56,false,true,2026-06-12T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0111,72.56",https://instagram.com/nokiacoffeeday,https://facebook.com/nokiacoffeeday,4.4,2000,false
10029,Ashok Leyland,ahmedabad-ashok-leyland,Ahmedabad,Gujarat,Cafe,Premium Cafe,"Shop No. 5, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380060",+919800000029,https://ashokleyland.in,info@ashokleyland.in,"About Ashok Leyland: A premier choice for cafe needs located in Ahmedabad. Ashok Leyland, flagship of the Hinduja group, is the 2nd largest manufacturer of commercial vehicles in India, the 4th largest manufacturer of buses in the world, and the 10th largest manufacturers of trucks. Headquartered in Chennai, 9 manufacturing plants gives an international footprint - 7 in India, a bus manufacturing facility in Ras Al Khaimah (UAE), one at Leeds, United Kingdom and a joint venture with the Alteams Group for the manufacture of high-press die-casting extruded aluminum components for the automotive and telecommunications sectors, Ashok Leyland has a well-diversified portfolio across the automobile industry. Ashok Leyland has recently and more.",+919800000029,23.0123,72.5612,true,false,2026-06-11T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0123,72.5612",https://instagram.com/ashokleyland,https://facebook.com/ashokleyland,4.3,1900,false
